My dear brothers and sisters, welcome to general conference!	Mis queridos hermanos y hermanas, ¡bienvenidos a la conferencia general!
What a joy it is to be with you!	¡Qué gozo es estar con ustedes!
You have been on my mind almost constantly during the past six months	Durante los últimos seis meses han estado en mis pensamientos de manera casi constante.
I have prayed about you and for you.	He orado en cuanto a ustedes y por ustedes.
During recent weeks I have prayed intently that this conference would be a time of revelation and reflection for all who seek those blessings.	Durante las últimas semanas he orado fervientemente para que esta conferencia sea un periodo de revelación y reflexión para todos los que procuran esas bendiciones.
We are delighted to be speaking to you from the Conference Center once again.	Estamos encantados de dirigirnos a ustedes de nuevo desde el Centro de Conferencias.
Most of the seats remain empty, but the presence of some members of the Tabernacle Choir is a wonderful step forward.	La mayoría de los asientos permanecen vacíos, pero la presencia de algunos miembros del Coro del Tabernáculo supone un maravilloso avance.
We welcome you all to this largely virtual conference, wherever you are.	Les damos la bienvenida a todos a esta conferencia, en gran parte virtual, dondequiera que estén.
We are still dealing with the ravages of COVID-19 and its variants.	Todavía estamos lidiando con los estragos del COVID-19 y sus variantes.
We thank you for following our counsel and the advice of medical experts and government officials in your own communities.	Les agradecemos por seguir nuestros consejos, los de los expertos médicos y de los funcionarios gubernamentales de sus propias comunidades.
We convene each general conference as directed by the Lord. The format has varied over the years.	Convocamos cada conferencia general siguiendo las indicaciones del Señor, si bien el formato ha variado con los años.
When I was much younger, conference lasted three or four days. Later, conference was reduced to two days.	Cuando yo era mucho más joven, la conferencia duraba tres o cuatro días; posteriormente, la duración se redujo a dos días.
Every message—then and now—is the result of earnest prayer and much spiritual preparation.	Cada mensaje, en ese entonces y ahora, es el resultado de la oración ferviente y de mucha preparación espiritual.
The General Authorities and General Officers of the Church who speak will focus their messages on our Savior, Jesus Christ, His mercy, and His infinite redeeming power.	Las Autoridades Generales y los Oficiales Generales de la Iglesia que discursen centrarán sus mensajes en nuestro Salvador, Jesucristo, Su misericordia y Su infinito poder redentor.
There has never been a time in the history of the world when knowledge of our Savior is more personally vital and relevant to every human soul.	Nunca ha habido una época en la historia del mundo en la que el conocimiento de nuestro Salvador fuera más vital y relevante en lo personal para toda alma humana.
Imagine how quickly the devastating conflicts throughout the world—and those in our individual lives—would be resolved if we all chose to follow Jesus Christ and heed His teachings.	Imaginen lo rápido que se resolverían los devastadores conflictos de todo el mundo, y los de nuestra propia vida, si todos nosotros decidiéramos seguir a Jesucristo y prestar atención a Sus enseñanzas.
In that spirit, I invite you to listen for three things during this conference: pure truth, the pure doctrine of Christ, and pure revelation.	Con ese espíritu, los invito a dar oído a tres cosas durante esta conferencia: la verdad pura, la doctrina pura de Cristo y la revelación pura.
Contrary to the doubts of some, there really is such a thing as right and wrong.	Al contrario de las dudas de algunos, sí existen el bien y el mal.
There really is absolute truth—eternal truth.	Realmente existe la verdad absoluta: la verdad eterna.
One of the plagues of our day is that too few people know where to turn for truth.	Una de las plagas de nuestra época es que muy pocas personas saben adónde acudir en busca de la verdad.
I can assure you that what you will hear today and tomorrow constitutes pure truth.	Puedo asegurarles que lo que oirán hoy y mañana constituye la verdad pura.
The pure doctrine of Christ is powerful. It changes the life of everyone who understands it and seeks to implement it in his or her life.	La doctrina pura de Cristo es poderosa; cambia la vida de todo aquel que la entiende y procura implementarla en su vida.
The doctrine of Christ helps us find and stay on the covenant path.	La doctrina de Cristo nos ayuda a encontrar la senda de los convenios y a permanecer en ella.
Staying on that narrow but well-defined path will ultimately qualify us to receive all that God has.	Mantenernos en ese camino estrecho pero bien definido nos hará merecedores, en última instancia, de recibir todo lo que Dios tiene.
Nothing could be worth more than all our Father has!	¡Nada puede valer más que todo lo que tiene nuestro Padre!
Finally, pure revelation for the questions in your heart will make this conference rewarding and unforgettable.	Finalmente, la revelación pura para las preguntas de su corazón hará que esta conferencia sea provechosa e inolvidable.
If you have not yet sought for the ministering of the Holy Ghost to help you hear what the Lord would have you hear during these two days, I invite you to do so now.	Si aún no han buscado la ministración del Espíritu Santo para ayudarlos a escuchar lo que el Señor desea que escuchen durante estos dos días, los invito a que lo hagan ahora.
Please make this conference a time of feasting on messages from the Lord through His servants. Learn how to apply them in your life.	Hagan de esta conferencia un tiempo para deleitarse con los mensajes que el Señor nos dé a través de Sus siervos y aprendan a ponerlos en práctica en su vida.
This is The Church of Jesus Christ of Latter-day Saints.	Esta es La Iglesia de Jesucristo de los Santos de los Últimos Días.
We are His covenant people.	Somos Su pueblo del convenio.
The Lord declared that He would hasten His work in its time, and He is doing so at an ever-increasing pace.	El Señor declaró que apresuraría Su obra en Su tiempo, y lo está haciendo a un ritmo cada vez mayor.
We are privileged to participate in His holy work.	Tenemos el privilegio de participar en Su santa obra.
I invoke a blessing upon all who are seeking greater light, knowledge, and truth. I express my love for each of you, in the sacred name of Jesus Christ, amen.	Invoco una bendición sobre todos los que buscan mayor luz, conocimiento y verdad, y expreso mi amor por cada uno de ustedes, en el sagrado nombre de Jesucristo. Amén.
